Random	All hail the nay nay goblins	Let the Nay Nay Goblins Decide
John's Dildo	Just ram it in as hard as you can	Those who like to give it rough	Glaz,Monty or Ying,Capitao,Nomad,Gridlock
Gotta Go Fast	Super Sanic Speed:tm:	Speed Force Users	Ash,IQ,Capitão,Hibana,Maverick
The Pain Train	Oh...	Harbinger's of Pain	Monty,Blitz,Fuze (Shield),Blackbeard
Breach Team Six	I brought some hard breach for your hard breach	Totally not hard breach	Thermite,Hibana,Maverick,Ace,Anyone with hard breach device
Tracking 101	I will find you, and I will kill you	Hunters	Jackal,Dokkaebi,Lion,Iana
Anti-Roam	No roaming for you!	Fun stealers	Jackal,Dokkaebi,Lion,Nomad,Gridlock
Rush	Get in there!	Those who don't give a frick	Blitz,Ash,Sledge,Ying,Zofia,Finka,Nokk,Amaru
The Yellow Bellies	They eat at the Yellow Deli	Yellow People	Blitz,IQ,Blackbeard,Lion,Finka
Soft Destruction	Who even needs hard breach?	The Superior Breach Team	Ash,Sledge,Buck,Zofia,Anyone with breach device
Flashers	Oh God, my eyes!	Those wild spirits (With stun grenades)	Sledge,Thermite,Buck,Blackbeard,Hibana,Dokkaebi,Finka,Lion,Nomad,Amaru,Flores
